"","Kingdom","Phylum","Class","Order","Family","Genus","Species","COMMENT.on.genus","primary_lifestyle","Secondary_lifestyle","Comment_on_lifestyle_template","Endophytic_interaction_capability_template","Plant_pathogenic_capacity_template","Decay_substrate_template","Decay_type_template","Aquatic_habitat_template","Animal_biotrophic_capacity_template","Specific_hosts","Growth_form_template","Fruitbody_type_template","Hymenium_type_template","Ectomycorrhiza_exploration_type_template","Ectomycorrhiza_lineage_template","primary_photobiont","secondary_photobiont","Decay_type","Fruitbody_type","OTU_ID"
"OTU242","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Agaricus","Agaricus evertens","","soil_saprotroph","","","","","soil","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid","OTU242"
"OTU243","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Cladophialophora","","","soil_saprotroph","root_endophyte_dark_septate","mycoparasite_some_species,animal_pathogen_some_species","root_endophyte_dark_septate","","soil","","non-aquatic","animal_parasite/opportunistic_human_parasite","","dimorphic_yeast","","","","","","","","","OTU243"
"OTU244","Fungi","Ascomycota","Sordariomycetes","Sordariales","Cephalothecaceae","Phialemonium","","","animal_parasite","animal_decomposer","","","","animal_material","","partly_aquatic","animal_parasite","","filamentous_mycelium","none","none","","","","","","none","OTU244"
"OTU245","Fungi","Ascomycota","Lecanoromycetes","Caliciales","Physciaceae","Physcia","","","lichenized","","","","","","","non-aquatic","","","thallus_photosynthetic","apothecium_(hymenium_on_surface)","smooth","","","chlorococcoid","","","apothecium_(hymenium_on_surface)","OTU245"
"OTU246","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Marasmiaceae","Marasmius","","","litter_saprotroph","plant_pathogen","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid","OTU246"
"OTU247","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU247"
"OTU248","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris","Comoclathris arrhenatheri","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU248"
"OTU249","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","Bovista aestivalis","","soil_saprotroph","","","","","soil","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid","OTU249"
"OTU250","Fungi","Basidiomycota","Agaricomycetes","Russulales","Stereaceae","Stereum","Stereum hirsutum","","wood_saprotroph","","","","","wood","white_rot","non-aquatic","","","filamentous_mycelium","polyporoid","smooth","","","","","white_rot","polyporoid","OTU250"
"OTU251","Fungi","Ascomycota","Leotiomycetes","Helotiales","Dermateaceae","Naevala","","","plant_pathogen","foliar_endophyte","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","","","","apothecium_(hymenium_on_surface)","OTU251"
"OTU252","Fungi","Ascomycota","Sordariomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU252"
"OTU253","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","","","litter_saprotroph","plant_pathogen","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,soil,dung,animal_material","","partly_aquatic","animal_parasite","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU253"
"OTU254","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU254"
"OTU256","Fungi","Ascomycota","Leotiomycetes","Helotiales","Hyaloscyphaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU256"
"OTU257","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Neocatenulostroma","Neocatenulostroma germanicum","","plant_pathogen","litter_saprotroph","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU257"
"OTU258","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Psathyrellaceae","Psathyrella","Psathyrella corrugis","","wood_saprotroph","litter_saprotroph","","","","wood,leaf/fruit/seed","","partly_aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid","OTU258"
"OTU259","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU259"
"OTU260","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","Preussia bipartis","","dung_saprotroph","","","","","dung","","partly_aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)","OTU260"
"OTU261","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Trametes","Trametes versicolor","","wood_saprotroph","","wood_pathogen_some_species","","","wood","white_rot","partly_aquatic","","","filamentous_mycelium","polyporoid","poroid","","","","","white_rot","polyporoid","OTU261"
"OTU263","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU263"
"OTU264","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Hygrophoraceae","Arrhenia","","","litter_saprotroph","bryophilous","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","","","","","","agaricoid","OTU264"
"OTU267","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Chalara","","","litter_saprotroph","plant_pathogen","hypervariable","foliar_endophyte","wood_pathogen,leaf/fruit/seed_pathogen","wood,leaf/fruit/seed","soft_rot","non-aquatic","","","filamentous_mycelium","None","none","","","","","soft_rot","None","OTU267"
"OTU268","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria","Neocucurbitaria unguis-hominis","","unspecified_saprotroph","","","","","","","partly_marine_(partly_non-aquatic)","","","filamentous_mycelium","","","","","","","","","OTU268"
"OTU270","Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Lasiobolidium","Lasiobolidium orbiculoides","","dung_saprotroph","foliar_endophyte","","foliar_endophyte","","dung","","non-aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)","OTU270"
"OTU272","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Meristemomyces","Meristemomyces arctostaphyli","","litter_saprotroph","rock-inhabiting","","","","leaf/fruit/seed,soil","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU272"
"OTU273","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala oligosperma","","animal_parasite","litter_saprotroph","","root_endophyte_dark_septate","root-associated","leaf/fruit/seed,animal_material","","partly_aquatic","animal_parasite/opportunistic_human_parasite","","dimorphic_yeast","","","","","","","","","OTU273"
"OTU275","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU275"
"OTU278","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU278"
"OTU280","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","","","mycoparasite","fungal_decomposer","","","","fungal_material","","partly_aquatic","","","filamentous_mycelium","","","","","","","","","OTU280"
"OTU281","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU281"
"OTU282","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus piperis","","unspecified_saprotroph","foliar_endophyte","hypervariable,_saprotroph_animal_pathogen_endophyte","foliar_endophyte","","leaf/fruit/seed,soil,dung,animal_material","mold","partly_aquatic","animal_parasite/opportunistic_human_parasite","","filamentous_mycelium","","","","","","","mold","","OTU282"
"OTU283","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Polyporaceae","Perenniporia","","","wood_saprotroph","","","","","wood","white_rot","non-aquatic","","","filamentous_mycelium","polyporoid","poroid","","","","","white_rot","polyporoid","OTU283"
"OTU284","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","Aspergillus ruber","","unspecified_saprotroph","foliar_endophyte","hypervariable,_saprotroph_animal_pathogen_endophyte","foliar_endophyte","","leaf/fruit/seed,soil,dung,animal_material","mold","partly_aquatic","animal_parasite/opportunistic_human_parasite","","filamentous_mycelium","","","","","","","mold","","OTU284"
"OTU285","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Populocrescentia","Populocrescentia forlicesenensis","","litter_saprotroph","wood_saprotroph","","no_endophytic_capacity","","wood,leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU285"
"OTU286","Fungi","Ascomycota","Dothideomycetes","Dothideales","Aureobasidiaceae","Saccothecium","Saccothecium sepincola","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU286"
"OTU287","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU287"
"OTU288","Fungi","Basidiomycota","Tremellomycetes","Trichosporonales","Trichosporonaceae","Trichosporon","Trichosporon asahii","","animal_parasite","animal_decomposer","","","","animal_material","","non-aquatic","animal_parasite/opportunistic_human_parasite","","yeast","none","none","","","","","","none","OTU288"
"OTU289","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU289"
"OTU290","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Melanommataceae","Uzbekistanica","Uzbekistanica vitis-viniferae","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU290"
"OTU292","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU292"
"OTU293","Fungi","Basidiomycota","Cystobasidiomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU293"
"OTU294","Fungi","Ascomycota","Leotiomycetes","Helotiales","Pleuroascaceae","Pleuroascus","","","dung_saprotroph","","","","","dung","","non-aquatic","","","filamentous_mycelium","cleistothecium_(closed,_spherical)","closed","","","","","","cleistothecium_(closed,_spherical)","OTU294"
"OTU295","Fungi","Ascomycota","Sordariomycetes","Sordariales","Podosporaceae","Podospora","","","dung_saprotroph","foliar_endophyte","litter_saprotroph_some_species","foliar_endophyte","","leaf/fruit/seed,dung","","partly_freshwater_(partly_non-aquatic)","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU295"
"OTU296","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Bovista","Bovista plumbea","","soil_saprotroph","","","","","soil","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid","OTU296"
"OTU297","Fungi","Basidiomycota","Agaricomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU297"
"OTU298","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Fonsecazyma","Fonsecazyma tronadorensis","","unspecified_saprotroph","","","","","","","non-aquatic","","","yeast","","","","","","","","","OTU298"
"OTU299","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU299"
"OTU300","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Neocosmospora","Neocosmospora tenuicristata","","soil_saprotroph","","","","","soil","","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU300"
"OTU301","Fungi","Ascomycota","Dothideomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU301"
"OTU302","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU302"
"OTU303","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Entolomataceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU303"
"OTU304","Fungi","Basidiomycota","Agaricomycetes","Trechisporales","","Sertulicium","Sertulicium lateclavigerum",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU304"
"OTU305","Fungi","Basidiomycota","Agaricomycetes","Polyporales","Meruliaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU305"
"OTU306","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Ovatospora","Ovatospora mollicella","","soil_saprotroph","dung_saprotroph","","","","soil,dung","","non-aquatic","","","filamentous_mycelium","none","none","","","","","","none","OTU306"
"OTU307","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Torulaceae","Torula","","","foliar_endophyte","wood_saprotroph","","foliar_endophyte","","wood,leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU307"
"OTU308","Fungi","Ascomycota","Leotiomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU308"
"OTU309","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymosphaeriaceae","Kalmusia","Kalmusia longispora","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU309"
"OTU310","Fungi","Ascomycota","Sordariomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU310"
"OTU311","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Tremella","Tremella parmeliarum","","mycoparasite","","lichen_parasite_some_species","","","fungal_material","","non-aquatic","","","dimorphic_yeast","","","","","","","","","OTU311"
"OTU312","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU312"
"OTU313","Fungi","Basidiomycota","Cystobasidiomycetes","Cystobasidiales","Cystobasidiaceae","Cystobasidium","Cystobasidium slooffiae","","mycoparasite","fungal_decomposer","","no_endophytic_capacity","","fungal_material","","partly_aquatic","","Thelebolales","dimorphic_yeast","none","none","","","","","","none","OTU313"
"OTU314","Fungi","Ascomycota","Leotiomycetes","Helotiales","Calloriaceae","Polyphilus","","","unspecified_saprotroph","root_endophyte_dark_septate","hypervariable","root_endophyte_dark_septate","other_plant_pathogen","leaf/fruit/seed,soil,dung,animal_material","","non-aquatic","","","filamentous_mycelium","none","none","","","","","","none","OTU314"
"OTU315","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU315"
"OTU316","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Chalara","","","litter_saprotroph","plant_pathogen","hypervariable","foliar_endophyte","wood_pathogen,leaf/fruit/seed_pathogen","wood,leaf/fruit/seed","soft_rot","non-aquatic","","","filamentous_mycelium","None","none","","","","","soft_rot","None","OTU316"
"OTU318","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU318"
"OTU319","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU319"
"OTU320","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Dlhawksworthia","Dlhawksworthia clematidicola","","wood_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU320"
"OTU321","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon","","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid","OTU321"
"OTU322","Fungi","Basidiomycota","Microbotryomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU322"
"OTU323","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lyophyllaceae","Fibulochlamys","Fibulochlamys chilensis","","wood_saprotroph","","","","","wood","","non-aquatic","","","filamentous_mycelium","other","other","","","","","","other","OTU323"
"OTU325","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Drechslera","","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","partly_aquatic","","","filamentous_mycelium","","","","","","","","","OTU325"
"OTU326","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","","","plant_pathogen","litter_saprotroph","hypervariable,_saprotroph,_pathogen,damping-off_pathogen","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed,roots,soil,animal_material","soft_rot","partly_aquatic","opportunistic_human_parasite","","filamentous_mycelium","","","","","","","soft_rot","","OTU326"
"OTU328","Fungi","Basidiomycota","Tremellomycetes","Filobasidiales","Filobasidiaceae","Naganishia","Naganishia randhawae","","unspecified_saprotroph","","extremophile","","","","","partly_aquatic","","","yeast","none","none","","","","","","none","OTU328"
"OTU330","Fungi","Ascomycota","Sordariomycetes","Xylariales","Graphostromataceae","Biscogniauxia","","","wood_saprotroph","foliar_endophyte","","foliar_endophyte","wood_pathogen","wood,leaf/fruit/seed","","non-aquatic","","angiosperms","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU330"
"OTU331","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Nectria","","","plant_pathogen","litter_saprotroph","hypervariable","foliar_endophyte","leaf/fruit/seed_pathogen","wood,leaf/fruit/seed,roots,soil","","","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU331"
"OTU332","Fungi","Ascomycota","Sordariomycetes","Xylariales","Diatrypaceae","Diatrype","Diatrype stigma","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU332"
"OTU333","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU333"
"OTU334","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreaceae","Monocillium","","","litter_saprotroph","dung_saprotroph","invertebrate-associated_some_species","","","wood,leaf/fruit/seed,soil,dung,animal_material","","","invertebrate-associated","","filamentous_mycelium","","","","","","","","","OTU334"
"OTU335","Fungi","Ascomycota","Dothideomycetes","Capnodiales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU335"
"OTU336","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Dialonectria","Dialonectria episphaeria","","mycoparasite","fungal_decomposer","","","","fungal_material","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU336"
"OTU338","Fungi","Ascomycota","Sordariomycetes","Hypocreales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU338"
"OTU339","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","Chalastospora","Chalastospora gossypii","","plant_pathogen","litter_saprotroph","","","leaf/fruit/seed_pathogen","leaf/fruit/seed","","","","","filamentous_mycelium","","","","","","","","","OTU339"
"OTU340","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris","","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU340"
"OTU342","Fungi","Basidiomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU342"
"OTU343","Fungi","Basidiomycota","Agaricomycetes","Russulales","Gloeocystidiellaceae","Gloeocystidiellum","Gloeocystidiellum leucoxanthum","","wood_saprotroph","","","","","wood","white_rot","non-aquatic","","","filamentous_mycelium","corticioid","smooth","","","","","white_rot","corticioid","OTU343"
"OTU344","Fungi","Ascomycota","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU344"
"OTU346","Fungi","Ascomycota","Eurotiomycetes","Phaeomoniellales","Phaeomoniellaceae","Neophaeomoniella","Neophaeomoniella constricta","","plant_pathogen","","","","leaf/fruit/seed_pathogen","","","non-aquatic","","","filamentous_mycelium","","","","","","","","","OTU346"
"OTU347","Fungi","Ascomycota","Dothideomycetes","Pleosporales","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU347"
"OTU348","Fungi","Ascomycota","Leotiomycetes","Helotiales","","Cyclaneusma","Cyclaneusma minus","","plant_pathogen","foliar_endophyte","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","apothecium_(hymenium_on_surface)","smooth","","","","","","apothecium_(hymenium_on_surface)","OTU348"
"OTU349","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Cryptococcaceae","Kwoniella","","","unspecified_saprotroph","","","","","","","partly_aquatic","","","dimorphic_yeast","","","","","","","","","OTU349"
"OTU351","Fungi","Ascomycota","Taphrinomycetes","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU351"
"OTU352","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces","","","plant_pathogen","wood_saprotroph","","","wood_pathogen","wood","","non-aquatic","","","filamentous_mycelium","corticioid","smooth","","","","","","corticioid","OTU352"
"OTU353","Fungi","Ascomycota","Lecanoromycetes","Teloschistales","Teloschistaceae","Polycauliona","Polycauliona candelaria","","lichenized","","","","","","","non-aquatic","","","thallus_photosynthetic","apothecium_(hymenium_on_surface)","smooth","","","chlorococcoid","","","apothecium_(hymenium_on_surface)","OTU353"
"OTU354","Fungi","Ascomycota","Candelariomycetes","Candelariales","Candelariaceae","Candelaria","Candelaria pacifica","","lichenized","","","","","","","non-aquatic","","","thallus_photosynthetic","apothecium_(hymenium_on_surface)","smooth","","","chlorococcoid","","","apothecium_(hymenium_on_surface)","OTU354"
"OTU355","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Pseudotremella","Pseudotremella moriformis","","wood_saprotroph","","","","","wood","","non-aquatic","","","dimorphic_yeast","tremelloid","","","","","","","tremelloid","OTU355"
"OTU356","Fungi","","","","","","",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"OTU356"
"OTU357","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Laetisaria","Laetisaria lichenicola","","plant_pathogen","wood_saprotroph","","","wood_pathogen","wood","","non-aquatic","","","filamentous_mycelium","corticioid","smooth","","","","","","corticioid","OTU357"
"OTU358","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris","Comoclathris italica","","wood_saprotroph","","","no_endophytic_capacity","","wood","","non-aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","","perithecium_(hymenium_hidden,_narrow_opening)","OTU358"
"OTU359","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","","","plant_pathogen","litter_saprotroph","","foliar_endophyte","leaf/fruit/seed_pathogen","leaf/fruit/seed","soft_rot","partly_aquatic","","","filamentous_mycelium","perithecium_(hymenium_hidden,_narrow_opening)","closed","","","","","soft_rot","perithecium_(hymenium_hidden,_narrow_opening)","OTU359"
"OTU361","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Lycoperdaceae","Lycoperdon","Lycoperdon perlatum","","litter_saprotroph","","","","","leaf/fruit/seed","","non-aquatic","","","filamentous_mycelium","gasteroid","closed","","","","","","gasteroid","OTU361"
"OTU362","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleraceae","Genolevuria","","","unspecified_saprotroph","epiphyte","","","","","","non-aquatic","","","yeast","","","","","","","","","OTU362"
"OTU363","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Inocybaceae","Inocybe","","","ectomycorrhizal","","","","","","","non-aquatic","","","filamentous_mycelium","agaricoid","gills","short-distance_delicate","/inocybe","","","","agaricoid","OTU363"
